scope,task,layer_idx,tensor_axis,n_samples,sample_indices,mean_relative_l2,median_relative_l2,mean_p99_abs,median_p99_abs,mean_outlier_fraction,median_outlier_fraction,mean_mean,median_mean,mean_std,median_std,mean_variance,median_variance,mean_max_abs,median_max_abs,mean_p50_abs,median_p50_abs,mean_p95_abs,median_p95_abs,mean_mse,median_mse,mean_max_abs_error,median_max_abs_error
primary,passage_retrieval_en,4,value,4,41 105 141 185,0.40953759606110995,0.409539206938767,0.731201171875,0.731201171875,0.008135294916573638,0.0081322861537391,-0.0013814193820249987,-0.0013782149947178034,0.25440384324145904,0.25436887671120434,0.06472133563994545,0.06470353016906386,3.57421875,3.486328125,0.15655517578125,0.1566162109375,0.5030517578125,0.5029296875,0.010857360925723127,0.010857616751311708,0.8069305419921875,0.825439453125
primary,passage_retrieval_en,9,key,4,41 105 141 185,0.17095643567769941,0.17085483174619948,7.521484375,7.51953125,0.017601715653708803,0.017676221848961778,-0.01174502394331323,-0.011854949103306901,1.8470016930391906,1.8468951343095525,3.411415689432828,3.411021638086461,20.75,20.546875,0.7596435546875,0.759765625,3.515625,3.5166015625,0.09973750448022528,0.09962672549013185,3.1796875,3.1796875
primary,passage_retrieval_en,9,value,4,41 105 141 185,0.4055678089400959,0.4055850724753002,1.048828125,1.04833984375,0.007180013496605608,0.007171068744921738,0.0006125594189958645,0.0006292010802499297,0.3719875344506911,0.37184784895927603,0.1383750803025578,0.13827082435808852,6.875,6.861328125,0.233551025390625,0.2335205078125,0.7364501953125,0.736328125,0.02274988815370207,0.022725032340243347,1.36297607421875,1.358642578125
primary,passage_retrieval_en,13,key,4,41 105 141 185,0.17511328110060348,0.17513905327397053,6.6474609375,6.662109375,0.015496638982132145,0.015557644991263539,-0.0044846225018784465,-0.004364523668939101,1.7934476179544196,1.7930682080671074,3.21645689774789,3.2150944252374116,19.63671875,19.609375,0.7557373046875,0.755859375,3.39111328125,3.392578125,0.09866222620409476,0.09864085065164296,2.9921875,2.9921875
primary,passage_retrieval_en,13,value,4,41 105 141 185,0.39843150723953596,0.39840660395745375,1.157470703125,1.158203125,0.006146836153897366,0.006133841362412519,0.00040840479779168223,0.0003539504224802552,0.41830971908454,0.41845473122658117,0.17498346291397637,0.17510456153749743,5.4638671875,5.470703125,0.2662353515625,0.2662353515625,0.8309326171875,0.831298828125,0.027758483408289868,0.02777760647590486,1.3994140625,1.39453125
primary,passage_retrieval_en,18,key,4,41 105 141 185,0.16607835411396393,0.16602075920387072,7.0654296875,7.0546875,0.014917880997666607,0.014935910337685607,-0.015417578021195515,-0.015491717717736067,1.8307886528140254,1.8316473601036773,3.3517908410595196,3.3549320865608117,19.34375,19.375,0.7384033203125,0.738525390625,3.34521484375,3.345703125,0.09251090081852305,0.09237838874788927,2.712646484375,2.701171875
primary,passage_retrieval_en,18,value,4,41 105 141 185,0.40000834589139345,0.400022751670573,1.3349609375,1.33544921875,0.0059705875859937035,0.0059709220498282405,-0.003248394601293599,-0.00330062986261611,0.48628372145587945,0.4861672289946663,0.23647202672952475,0.2363585960930011,5.3603515625,5.3515625,0.31072998046875,0.3106689453125,0.959228515625,0.958984375,0.03784018161253213,0.03785150065157658,1.24462890625,1.2138671875
primary,passage_retrieval_en,22,key,4,41 105 141 185,0.1680967331538664,0.1681190943666157,6.87890625,6.8984375,0.015452403576485512,0.01549347611780448,0.0010183264900336547,0.001192635723662272,1.8308727383238446,1.831079460693829,3.3521132119038004,3.3528532140580936,21.40234375,21.296875,0.7559814453125,0.755859375,3.353515625,3.353515625,0.09476919671870923,0.0946385976339991,2.7890625,2.7890625
primary,passage_retrieval_en,22,value,4,41 105 141 185,0.39558740122471214,0.3956405226001306,1.491943359375,1.49169921875,0.005367356639574637,0.005382303673210308,-0.004550447631107263,-0.004469700380123776,0.5476867216869439,0.5476522708769624,0.2999612164559915,0.29992342728342036,7.845703125,7.84765625,0.3529052734375,0.352783203125,1.0859375,1.0859375,0.04697059752238921,0.04695603302605622,1.566741943359375,1.5706787109375
primary,passage_retrieval_en,27,key,4,41 105 141 185,0.16788277860790832,0.16791453039929405,6.943359375,6.958984375,0.012947452899341964,0.012967344234127508,-0.0069837858785289685,-0.007022945198429019,1.832724459151069,1.8336801677438874,3.3588878621658846,3.3623833008259085,21.765625,21.75,0.734619140625,0.734375,3.04833984375,3.05078125,0.09471223401256552,0.09456465514909597,2.828125,2.828125
primary,passage_retrieval_en,27,value,4,41 105 141 185,0.39822893944164295,0.39823625989104317,1.7861328125,1.78662109375,0.004733126021776145,0.004743101998823074,0.0018600059767454671,0.001943580458218244,0.6678969247553335,0.6677585242999464,0.44608805104772076,0.445901779667105,7.982421875,7.986328125,0.43463134765625,0.4344482421875,1.31201171875,1.3115234375,0.07082296128296522,0.07078627745731077,2.11334228515625,2.0718994140625
primary,passage_retrieval_en,31,key,4,41 105 141 185,0.17558359473561036,0.17599153116654276,6.6396484375,6.640625,0.01701812366472803,0.017017113548788355,-0.027949325820500328,-0.028006418450075943,1.77822799273833,1.776950545527367,3.162108795643203,3.15755583064077,23.01953125,23.03125,0.7899169921875,0.7900390625,3.37451171875,3.373046875,0.0975573394053974,0.09783299408731487,3.7733154296875,3.7734375
primary,passage_retrieval_en,31,value,4,41 105 141 185,0.4012199543330555,0.4012061932827531,1.520263671875,1.52001953125,0.005970841312669682,0.005969506827228217,-0.006812318817340124,-0.006824591284080329,0.5556688321675443,0.5556308358959738,0.3087699176900569,0.3087257783366739,7.8349609375,7.8671875,0.35577392578125,0.355712890625,1.08984375,1.08984375,0.04977128253836999,0.04975185315310906,2.0516357421875,2.0516357421875
primary,trec,0,key,4,82 151 153 154,0.2059207758036263,0.2057897806140347,2.248046875,2.2490234375,0.013810333054683563,0.013770425883361734,0.006257508884904257,0.005895395585975452,0.6798717597347883,0.6797737059369098,0.46222667859799405,0.4620922914047487,7.154296875,7.171875,0.368896484375,0.3687744140625,1.335693359375,1.33544921875,0.019599153688059406,0.019576006663698218,1.7945556640625,1.79620361328125
primary,trec,0,value,4,82 151 153 154,0.5385419582683814,0.5385783861184884,0.147247314453125,0.147216796875,0.01755709200753354,0.01756872032197144,0.00015233585904740024,0.00015336568779018833,0.03285027910188791,0.03283682002856616,0.0010791442351525179,0.0010782568167443112,1.201171875,1.201171875,0.005837440490722656,0.0058345794677734375,0.04157257080078125,0.0415802001953125,0.0003129510876818177,0.0003128970922889698,0.226654052734375,0.226654052734375
primary,trec,4,key,4,82 151 153 154,0.13977562122237588,0.13981983955999772,7.5947265625,7.5859375,0.015981608643384625,0.015959612038095535,-0.018159253206013543,-0.016634718598891155,1.9085935256745135,1.909331950826644,3.642733060656085,3.6455486539086004,18.76171875,18.796875,0.7493896484375,0.74951171875,3.77294921875,3.7705078125,0.07116732807235976,0.07121291855977521,2.7578125,2.75
primary,trec,4,value,4,82 151 153 154,0.4078538338484998,0.40787934638948564,0.7529296875,0.753173828125,0.008464920033160383,0.008467272271964175,-0.001591551259231663,-0.0015927188194828018,0.2599056677189465,0.2598821102955091,0.06755098312662249,0.06753871452225543,3.0791015625,3.1083984375,0.160064697265625,0.1600341796875,0.5145263671875,0.5146484375,0.011235822863118423,0.011235173844085764,0.7076873779296875,0.696014404296875
primary,trec,9,key,4,82 151 153 154,0.1653161796565816,0.16538468846175625,7.5,7.484375,0.016193658608580897,0.01606544705300989,-0.005333617104403944,-0.006262275126776864,1.8955938667972896,1.8958017031552097,3.593279107803009,3.5940641419434805,20.1328125,20.203125,0.7713623046875,0.772216796875,3.552734375,3.5556640625,0.09819436626501767,0.09825927310153794,3.28125,3.25390625
